"Year"|"Conf"|"Club"|"GP"|"PPG"|"Wpct"|"Lpct"|"Dpct"|"GFPG"|"GAPG"|"GDPG"|"HGpct"|"RGpct"|"W"|"L"|"D"|"GF"|"GA"|"GD"|"HG"|"HGD"|"RG"|"RGD"
"2014"|"East"|"CHI"|34|1.06|0.18|0.29|0.53|1.21|1.5|-0.29|0.54|0.46|6|10|18|41|51|-10|22|2|19|-12
"2014"|"West"|"CHV"|34|0.97|0.26|0.56|0.18|0.85|1.79|-0.94|0.48|0.52|9|19|6|29|61|-32|14|-16|15|-16
"2014"|"West"|"COL"|34|0.94|0.24|0.53|0.24|1.26|1.82|-0.56|0.6|0.4|8|18|8|43|62|-19|26|5|17|-24
"2014"|"East"|"CLB"|34|1.53|0.41|0.29|0.29|1.53|1.24|0.29|0.52|0.48|14|10|10|52|42|10|27|12|25|-2
"2014"|"East"|"DC"|34|1.74|0.5|0.26|0.24|1.53|1.09|0.44|0.54|0.46|17|9|8|52|37|15|28|16|24|-1
"2014"|"West"|"DAL"|34|1.59|0.47|0.35|0.18|1.62|1.32|0.29|0.6|0.4|16|12|6|55|45|10|33|11|22|-1
"2014"|"East"|"HOU"|34|1.15|0.32|0.5|0.18|1.15|1.71|-0.56|0.69|0.31|11|17|6|39|58|-19|27|2|12|-21
"2014"|"West"|"LA"|34|1.79|0.5|0.21|0.29|2.03|1.09|0.94|0.64|0.36|17|7|10|69|37|32|44|30|25|2
"2014"|"East"|"MTL"|34|0.82|0.18|0.53|0.29|1.12|1.71|-0.59|0.63|0.37|6|18|10|38|58|-20|24|0|14|-20
"2014"|"East"|"NE"|34|1.62|0.5|0.38|0.12|1.5|1.35|0.15|0.55|0.45|17|13|4|51|46|5|28|14|23|-9
"2014"|"East"|"NY"|34|1.47|0.38|0.29|0.32|1.62|1.47|0.15|0.69|0.31|13|10|11|55|50|5|38|15|17|-10
"2014"|"East"|"PHI"|34|1.24|0.29|0.35|0.35|1.5|1.5|0|0.59|0.41|10|12|12|51|51|0|30|4|21|-4
"2014"|"West"|"POR"|34|1.44|0.35|0.26|0.38|1.79|1.53|0.26|0.56|0.44|12|9|13|61|52|9|34|6|27|3
"2014"|"West"|"RSL"|34|1.65|0.44|0.24|0.32|1.59|1.15|0.44|0.61|0.39|15|8|11|54|39|15|33|19|21|-4
"2014"|"West"|"SJ"|34|0.88|0.18|0.47|0.35|1.03|1.47|-0.44|0.6|0.4|6|16|12|35|50|-15|21|0|14|-15
"2014"|"West"|"SEA"|34|1.88|0.59|0.29|0.12|1.91|1.47|0.44|0.48|0.52|20|10|4|65|50|15|31|15|34|0
"2014"|"East"|"SKC"|34|1.44|0.41|0.38|0.21|1.41|1.21|0.21|0.52|0.48|14|13|7|48|41|7|25|4|23|3
"2014"|"East"|"TOR"|34|1.21|0.32|0.44|0.24|1.29|1.59|-0.29|0.55|0.45|11|15|8|44|54|-10|24|1|20|-11
"2014"|"West"|"VAN"|34|1.47|0.35|0.24|0.41|1.24|1.18|0.06|0.64|0.36|12|8|14|42|40|2|27|8|15|-6
