"Year"|"Conf"|"Club"|"GP"|"PPG"|"Wpct"|"Lpct"|"Dpct"|"GFPG"|"GAPG"|"GDPG"|"W"|"L"|"D"|"GF"|"GA"|"GD"
"2012"|"East"|"CHI"|34|1.68|0.5|0.32|0.18|1.35|1.21|0.15|17|11|6|46|41|5
"2013"|"East"|"CHI"|34|1.44|0.41|0.38|0.21|1.38|1.53|-0.15|14|13|7|47|52|-5
"2012"|"West"|"CHV"|34|0.88|0.21|0.53|0.26|0.71|1.71|-1|7|18|9|24|58|-34
"2013"|"West"|"CHV"|34|0.76|0.18|0.59|0.24|0.88|1.97|-1.09|6|20|8|30|67|-37
"2013"|"West"|"COL"|34|1.5|0.41|0.32|0.26|1.32|1.12|0.21|14|11|9|45|38|7
"2012"|"West"|"COL"|34|1.09|0.32|0.56|0.12|1.29|1.47|-0.18|11|19|4|44|50|-6
"2012"|"East"|"CLB"|34|1.53|0.44|0.35|0.21|1.29|1.29|0|15|12|7|44|44|0
"2013"|"East"|"CLB"|34|1.21|0.35|0.5|0.15|1.24|1.35|-0.12|12|17|5|42|46|-4
"2012"|"East"|"DC"|34|1.71|0.5|0.29|0.21|1.56|1.26|0.29|17|10|7|53|43|10
"2013"|"East"|"DC"|34|0.47|0.09|0.71|0.21|0.65|1.74|-1.09|3|24|7|22|59|-37
"2012"|"West"|"DAL"|34|1.15|0.26|0.38|0.35|1.24|1.38|-0.15|9|13|12|42|47|-5
"2013"|"West"|"DAL"|34|1.29|0.32|0.35|0.32|1.41|1.53|-0.12|11|12|11|48|52|-4
"2012"|"East"|"HOU"|34|1.56|0.41|0.26|0.32|1.41|1.21|0.21|14|9|11|48|41|7
"2013"|"East"|"HOU"|34|1.5|0.41|0.32|0.26|1.21|1.21|0|14|11|9|41|41|0
"2013"|"West"|"LA"|34|1.56|0.44|0.32|0.24|1.56|1.12|0.44|15|11|8|53|38|15
"2012"|"West"|"LA"|34|1.59|0.47|0.35|0.18|1.74|1.38|0.35|16|12|6|59|47|12
"2013"|"East"|"MTL"|34|1.44|0.41|0.38|0.21|1.47|1.44|0.03|14|13|7|50|49|1
"2012"|"East"|"MTL"|34|1.24|0.35|0.47|0.18|1.32|1.5|-0.18|12|16|6|45|51|-6
"2012"|"East"|"NE"|34|1.03|0.26|0.5|0.24|1.15|1.29|-0.15|9|17|8|39|44|-5
"2013"|"East"|"NE"|34|1.5|0.41|0.32|0.26|1.44|1.12|0.32|14|11|9|49|38|11
"2013"|"East"|"NY"|34|1.74|0.5|0.26|0.24|1.71|1.21|0.5|17|9|8|58|41|17
"2012"|"East"|"NY"|34|1.68|0.47|0.26|0.26|1.68|1.35|0.32|16|9|9|57|46|11
